LBW,95% UI,
1.023624081,1.001383724,1.051012523
1.023925088,1.001402081,1.051566118
1.024225341,1.001420416,1.052070605
1.02452485,1.001438728,1.052573312
1.02482362,1.001457019,1.053070988
1.025121659,1.001475287,1.053566441
1.025418976,1.001493535,1.054060144
1.025715576,1.001511761,1.054552112
1.026011467,1.001529967,1.055042362
1.026306655,1.001548152,1.055530907
1.026601149,1.001566316,1.056060821
1.026894954,1.001584461,1.056607622
1.027188077,1.001602586,1.057153318
1.027480525,1.001620691,1.057697916
1.027772303,1.001638777,1.058241424
1.02806342,1.001656844,1.058783848
1.02835388,1.001674893,1.059325197
1.028643689,1.001692922,1.059865476
1.028932855,1.001710933,1.060404693
1.029221383,1.001728926,1.060942856
1.029509279,1.001746901,1.061460331
1.029796549,1.001764858,1.061941349
1.030083198,1.001782798,1.062420629
1.030369232,1.00180072,1.062898185
1.030654658,1.001818655,1.063374034
1.03093948,1.001836625,1.063848191
1.031223703,1.001854578,1.064320672
1.031507334,1.001872515,1.064791492
1.031790378,1.001890437,1.065260665
1.032072839,1.001908342,1.065728208
1.032354724,1.001926231,1.066194133
1.032636036,1.001944105,1.066658456
1.032916782,1.001961964,1.067121191
1.033196965,1.001979807,1.067582351
1.033476592,1.001997635,1.068041951
1.033755667,1.002015448,1.068500005
1.034034194,1.002033246,1.068959994
1.034312179,1.002051029,1.069453521
1.034589625,1.002068798,1.070000195
1.034866539,1.002086552,1.070546086
1.035142923,1.002104292,1.071091196
1.035418783,1.002122017,1.07163553
1.035694123,1.002139729,1.072179091
1.035968948,1.002157426,1.072721884
1.036243261,1.00217511,1.073263912
1.036517067,1.002192779,1.073805179
1.036790371,1.002210435,1.074345688
1.037063175,1.002228077,1.074885444
1.037335486,1.002245706,1.07542445
1.037607305,1.002263321,1.07596271
1.037878639,1.002280923,1.076498972
1.038149489,1.002298512,1.077033286
1.038419861,1.002316088,1.077566855
1.038689758,1.00233365,1.078099681
1.038959185,1.0023512,1.078631768
1.039228144,1.002368736,1.07916312
1.039496639,1.00238626,1.079589255
1.039764675,1.002403771,1.079996123
1.040032254,1.00242127,1.080401805
1.040299381,1.002438756,1.080806311
1.040566059,1.002456229,1.081209654
1.040832291,1.00247369,1.081611845
1.041098081,1.002491138,1.082012896
1.041363432,1.002508574,1.082412818
1.041628348,1.002525998,1.082853204
1.041892832,1.00254341,1.083369289
1.042156887,1.002560809,1.083884466
1.042420517,1.002578197,1.084398742
1.042683724,1.002595572,1.084912121
1.042946513,1.002612936,1.08542461
1.043208885,1.002630287,1.085936214
1.043470845,1.002647626,1.086446939
1.043732395,1.002664954,1.08695679
1.043993538,1.00268227,1.087465772
1.044254278,1.002699574,1.087973892
1.044514616,1.002716866,1.088480664
1.044774557,1.002734147,1.088986317
1.045034104,1.002751416,1.089491122
1.045293258,1.002768674,1.089995082
1.045552023,1.002785919,1.090498204
1.045810401,1.002803154,1.091000492
1.046068396,1.002820377,1.091501951
1.04632601,1.002837588,1.092002587
1.046583246,1.002854788,1.09250119
1.046840107,1.002871976,1.092998074
1.047096594,1.002889153,1.093492848
1.047352712,1.002906319,1.093986807
1.047608462,1.002923473,1.094479956
1.047863846,1.002940616,1.094972301
1.048118868,1.002957748,1.095463845
1.048373531,1.002974869,1.095954595
1.048627835,1.002991978,1.096344048
1.048881785,1.003009076,1.096686841
1.049135382,1.003026162,1.097028575
1.049388628,1.003043238,1.097369258
1.049641527,1.003060302,1.097708898
1.04989408,1.003077355,1.098047506
1.05014629,1.003094397,1.098385088
1.050398159,1.003111428,1.098721654
1.05064969,1.003128447,1.099091511
1.050900884,1.003145456,1.099588114
1.051151744,1.003162453,1.100083955
1.051402271,1.003179439,1.100579037
1.051652469,1.003196414,1.101073365
1.05190234,1.003213378,1.101566943
1.052151884,1.003230331,1.102059776
1.052401106,1.003247272,1.102551868
1.052650006,1.003264203,1.103043223
1.052898586,1.003281122,1.103533846
1.05314685,1.00329803,1.104023741
1.053394798,1.003314928,1.104512911
1.053642433,1.003331813,1.105001361
1.053889757,1.003348688,1.105489096
1.054136771,1.003365552,1.105976119
1.054383478,1.003382405,1.106462434
1.05462988,1.003399246,1.106949049
1.054875978,1.003416076,1.107436378
1.055121774,1.003432895,1.107923673
1.05536727,1.003449703,1.108410278
1.055612469,1.0034665,1.108896197
1.055857371,1.003483285,1.109381433
1.056101979,1.00350006,1.10986599
1.056346294,1.003516823,1.110349872
1.056590319,1.003533575,1.110833083
1.056834054,1.003550315,1.111315626
1.057077502,1.003567045,1.111797506
1.057320664,1.003583763,1.112278725
1.057563543,1.00360047,1.112759287
1.057806139,1.003617165,1.113239196
1.058048454,1.00363385,1.113718456
1.05829049,1.003650522,1.11419707
1.058532249,1.003667184,1.114675041
1.058773732,1.003683834,1.115152373
1.059014941,1.003700473,1.11562907
1.059255877,1.003717101,1.116105134
1.059496543,1.003733717,1.116580374
1.059736938,1.003750321,1.11705376
1.059977066,1.003766915,1.117526521
1.060216927,1.003783496,1.117998662
1.060456523,1.003800067,1.118470185
1.060695856,1.003816625,1.118941094
1.060934926,1.003833173,1.119411393
1.061173736,1.003849708,1.119881084
1.061412287,1.003866266,1.12035017
1.06165058,1.003882837,1.120818656
1.061888616,1.003899397,1.121286544
1.062126398,1.003915946,1.121753837
1.062363926,1.003932484,1.122219872
1.062601202,1.003949011,1.122684441
1.062838227,1.003965527,1.123148422
1.063075002,1.003982032,1.12361182
1.063311529,1.003998526,1.124074636
1.06354781,1.004015009,1.124536875
1.063783845,1.004031543,1.124998539
1.064019635,1.00405025,1.12545963
1.064255183,1.004066914,1.125920153
1.064490488,1.004080642,1.126380111
1.064725553,1.004096935,1.126839505
1.064960379,1.004113217,1.127264264
1.065194967,1.004129486,1.127743414
1.065429318,1.004145743,1.128219161
1.065663433,1.004161989,1.128678656
1.065897314,1.004178222,1.12913761
1.066130962,1.004194443,1.129596025
1.066364377,1.004210652,1.130053905
1.066597562,1.004226849,1.130511253
1.066830517,1.004243033,1.13096791
1.067063243,1.004259271,1.1314227
1.067295741,1.004275497,1.131876961
1.067528013,1.004291711,1.132330694
1.06776006,1.004307913,1.132753194
1.067991882,1.004324102,1.133169531
1.068223481,1.004340279,1.13358538
1.068454858,1.004356443,1.134000743
1.068686014,1.004372595,1.134415624
1.068916951,1.004388735,1.134830024
1.069147668,1.004404862,1.135243945
1.069378167,1.004420976,1.135657391
1.069608449,1.004437078,1.136070364
1.069838515,1.004453167,1.136482865
1.070068367,1.004469244,1.136894898
1.070298004,1.004485308,1.137306464
1.070527428,1.004501359,1.137717566
1.070756641,1.004517398,1.138172396
1.070985642,1.004533423,1.138628777
1.071214434,1.004549436,1.139083728
1.071443016,1.004565437,1.139538272
1.07167139,1.004581424,1.13999241
1.071899557,1.004597398,1.14035114
1.072127518,1.00461336,1.140672064
1.072355273,1.004629308,1.140992442
1.072582823,1.004645244,1.141365604
1.07281017,1.004661166,1.141700091
1.073037314,1.004677075,1.142034013
1.073264257,1.004692971,1.142367372
1.073490998,1.004708855,1.142700173
1.073717539,1.004724724,1.143032419
1.073943881,1.004740581,1.143364112
1.074170024,1.004756425,1.143695257
1.074395969,1.004772255,1.144025857
1.074621718,1.004788072,1.144355914
1.074847271,1.004803875,1.144685433
1.075072629,1.004819665,1.145087001
1.075297792,1.004835442,1.145612496
1.075522762,1.004851205,1.14613789
1.075747539,1.004866955,1.146663181
1.075972124,1.004882691,1.147188367
1.076196517,1.004898414,1.147713446
1.07642072,1.004914123,1.148214595
1.076644734,1.004929819,1.148616304
1.076868559,1.004945501,1.149017616
1.077092195,1.004961169,1.149418532
1.077315644,1.004976823,1.149819056
1.077538906,1.004992464,1.150219188
1.077761982,1.005008091,1.15061893
1.077984873,1.005023704,1.151018285
1.078207579,1.005039303,1.151417254
1.078430102,1.005054889,1.151815838
1.078652441,1.00507046,1.15221404
1.078874598,1.005086018,1.152611861
1.079096573,1.005101561,1.153009303
1.079318366,1.005117091,1.153406368
1.07953998,1.005132606,1.153866694
1.079761414,1.005148107,1.15444779
1.079982668,1.005163594,1.155028313
1.080203744,1.005179067,1.155608374
1.080424643,1.005194526,1.156188521
1.080645364,1.005209971,1.156768749
1.080865909,1.005225401,1.157349057
1.081086278,1.005240817,1.157929441
1.081306471,1.005256219,1.158509899
1.08152649,1.005271606,1.158900532
1.081746335,1.005286979,1.159268716
1.081966007,1.005302337,1.159632361
1.082185506,1.005317681,1.159995645
1.082404832,1.005333011,1.160358572
1.082623987,1.005348326,1.160721143
1.082842971,1.005363626,1.16108336
1.083061785,1.005378912,1.161445225
1.083280429,1.005394183,1.161806741
1.083498903,1.00540944,1.162167909
1.083717209,1.005424682,1.162528732
1.083935347,1.005439909,1.162889212
1.084153317,1.005455122,1.163249351
1.08437112,1.005470319,1.163664086
1.084588757,1.005485502,1.164141073
1.084806228,1.00550067,1.164617797
1.085023533,1.005515823,1.16509426
1.085240674,1.005530961,1.165570463
1.08545765,1.005546085,1.166046406
1.085674462,1.005561193,1.166522092
1.085891112,1.005576286,1.166997521
1.086107598,1.005591364,1.167472693
1.086323922,1.005606428,1.167947612
1.086540085,1.005621476,1.168422276
1.086756086,1.005636509,1.168896688
1.086971927,1.005651527,1.169370849
1.087187607,1.005666529,1.169844759
1.087403128,1.005681517,1.170260594
1.087618489,1.005696489,1.170665286
1.087833692,1.005711446,1.171069679
1.088048736,1.005726387,1.171473773
1.088263623,1.005741314,1.17187757
1.088478352,1.005756225,1.172281071
1.088692925,1.00577112,1.172683828
1.088907341,1.005786,1.173085047
1.089121601,1.005800865,1.173485972
1.089335705,1.005815714,1.173886604
1.089549655,1.005830548,1.174286945
1.08976345,1.005845366,1.174686995
1.08997709,1.005860169,1.175086755
1.090190577,1.005874956,1.175486228
1.090403911,1.005889728,1.175885414
1.090617092,1.005904484,1.176284315
1.090830121,1.005919224,1.176681666
1.091042997,1.005933948,1.177077344
1.091255722,1.005948657,1.177472737
1.091468296,1.00596335,1.177867846
1.091680719,1.005978027,1.178262673
1.091892992,1.005992689,1.178625223
1.092105115,1.006007335,1.178922422
1.092317089,1.006021964,1.179219221
1.092528913,1.006036578,1.179515622
1.092740589,1.006051176,1.179811626
1.092952116,1.006065759,1.180107235
1.093163496,1.006080325,1.180402451
1.093374728,1.006094875,1.180697276
1.093585813,1.006109409,1.180991712
1.093796751,1.006123928,1.181285761
1.094007542,1.00613843,1.181579424
1.094218188,1.006152916,1.181872704
1.094428688,1.006167386,1.182194732
1.094639043,1.00618184,1.182679225
1.094849253,1.006196278,1.183163368
1.095059319,1.006210699,1.18364716
1.09526924,1.006225105,1.184130599
1.095479018,1.006239494,1.184613685
1.095688652,1.006253867,1.185096416
1.095898143,1.006268224,1.185578791
1.096107491,1.006282564,1.18606081
1.096316697,1.006296888,1.18654247
1.096525761,1.006311196,1.187028727
1.096734684,1.006325488,1.187548729
1.096943465,1.006339763,1.188068482
1.097152105,1.006354022,1.188500733
1.097360604,1.006368264,1.188950968
1.097568963,1.00638249,1.189431132
1.097777182,1.0063967,1.189884222
1.097985261,1.006410893,1.190240821
1.098193201,1.00642507,1.190597116
1.098401002,1.00643923,1.190953108
1.098608664,1.006453373,1.191308799
1.098816188,1.006467501,1.19166399
1.099023574,1.006481611,1.192019254
1.099230822,1.006495705,1.192407411
1.099437933,1.006509782,1.192795327
1.099644906,1.006523843,1.193183004
1.099851743,1.006537887,1.193570443
1.100058443,1.006551915,1.193957645
1.100265007,1.006565926,1.19434461
1.100471435,1.00657992,1.19473134
1.100677727,1.006593897,1.195117835
1.100883885,1.006607858,1.195504097
1.101089907,1.006621802,1.195890127
1.101295794,1.006635729,1.196275924
1.101501547,1.00664964,1.196661492
1.101707166,1.006663534,1.197046829
1.101912651,1.006677411,1.197431937
1.102118002,1.006691271,1.197994588
1.10232322,1.006705114,1.198559786
1.102528305,1.00671894,1.199125083
1.102733257,1.00673275,1.199690478
1.102938077,1.006746543,1.200105464
1.103142765,1.006760318,1.200497382
1.10334732,1.006774077,1.200889072
1.103551744,1.006787819,1.201276843
1.103756037,1.006801544,1.201662091
1.103960199,1.006815253,1.202047106
1.104164229,1.006828944,1.202431888
1.104368129,1.006842618,1.202816437
1.104571899,1.006856275,1.203200755
1.104775539,1.006869915,1.203584844
1.104979049,1.006883539,1.203968703
1.10518243,1.006897145,1.204352334
1.105385681,1.006910734,1.204735737
1.105588803,1.006924306,1.205117354
1.105791796,1.006937861,1.20544658
1.105994661,1.006951399,1.205775515
1.106197398,1.00696492,1.206104161
1.106400006,1.006978424,1.206432518
1.106602487,1.006991911,1.206760589
1.10680484,1.00700538,1.207088373
1.107007066,1.007018833,1.207415872
1.107209165,1.007032268,1.207743087
1.107411137,1.007045687,1.208070019
1.107612983,1.007059088,1.20839667
1.107814702,1.007072472,1.20872304
1.108016295,1.007085838,1.209049129
1.108217762,1.007099188,1.209374941
1.108419104,1.00711252,1.209700474
1.10862032,1.007125835,1.210025731
1.108821411,1.007139133,1.210395722
1.109022377,1.007152414,1.210773366
1.109223219,1.007165678,1.211150811
1.109423935,1.007178924,1.211528058
1.109624528,1.007192153,1.211905108
1.109824997,1.007205365,1.212305223
1.110025341,1.00721856,1.212775742
1.110225563,1.007231737,1.213245969
1.11042566,1.007244897,1.213715902
1.110625635,1.00725804,1.214185539
1.110825487,1.007271165,1.21465488
1.111025216,1.007284274,1.215123923
1.111224822,1.007297365,1.215592667
1.111424306,1.007310438,1.216061112
1.111623669,1.007323495,1.216529254
1.111822909,1.007336534,1.216936439
1.112022027,1.007349555,1.217316618
1.112221025,1.00736256,1.217696599
1.1124199,1.007375547,1.218076382
1.112618655,1.007388517,1.218455968
1.112817289,1.007401469,1.218835358
1.113015803,1.007414404,1.219214075
1.113214196,1.007427322,1.21959033
1.113412469,1.007440223,1.219966393
1.113610622,1.007453106,1.220342265
1.113808655,1.007465972,1.220717946
1.114006568,1.00747882,1.221093438
1.114204362,1.007491651,1.221468741
1.114402037,1.007504465,1.221843856
1.114599593,1.007517261,1.222218784
1.11479703,1.00753004,1.222593525
1.114994348,1.007542802,1.222968081
1.115191548,1.007555546,1.223342451
1.11538863,1.007568273,1.223716638
1.115585593,1.007580983,1.224090608
1.115782439,1.007593675,1.22446382
1.115979167,1.00760635,1.224836851
1.116175778,1.007619007,1.225209701
1.116372272,1.007631647,1.225582371
1.116568648,1.00764427,1.225954862
1.116764907,1.007656875,1.226327174
1.11696105,1.007669463,1.226699309
1.117157076,1.007682034,1.227071266
1.117352986,1.007694587,1.227402108
1.11754878,1.007707123,1.22773224
1.117744458,1.007719642,1.228062175
1.11794002,1.007732143,1.228391914
1.118135466,1.007744627,1.228721459
1.118330797,1.007757093,1.229050809
1.118526013,1.007769542,1.229468779
1.118721114,1.007781974,1.229939894
1.118916099,1.007794388,1.23041065
1.119110971,1.007806785,1.230791071
1.119305727,1.007819165,1.231142788
1.119500369,1.007831527,1.231494294
1.119694897,1.007843872,1.231845589
1.119889311,1.0078562,1.232196674
1.120083612,1.00786851,1.232547549
1.120277798,1.007880803,1.232898216
1.120471871,1.007893079,1.233248675
1.120665831,1.007905337,1.233598926
1.120859678,1.007917578,1.233948971
1.121053412,1.007929801,1.23429881
1.121247033,1.007942008,1.234648443
1.121440541,1.007954197,1.234997872
1.121633937,1.007966368,1.235347097
1.121827221,1.007978523,1.235696118
1.122020392,1.00799066,1.236044937
1.122213452,1.00800278,1.236393554
1.1224064,1.008014882,1.236741969
1.122599236,1.008026967,1.237090184
1.122791961,1.008039035,1.237438199
1.122984575,1.008051086,1.237786014
1.123177077,1.008063119,1.23813363
1.123369469,1.008075136,1.238481048
1.12356175,1.008087134,1.238828269
1.12375392,1.008099116,1.239175293
1.12394598,1.008111081,1.23952212
1.124137929,1.008123028,1.239868752
1.124329769,1.008134958,1.240215189
1.124521498,1.00814687,1.240561431
1.124713118,1.008158766,1.24090748
1.124904628,1.008170644,1.241253336
1.125096029,1.008182505,1.241598998
1.12528732,1.008194349,1.241944469
1.125478502,1.008206176,1.242289749
1.125669575,1.008217985,1.242634838
1.12586054,1.008229778,1.242979737
1.126051395,1.008241553,1.243324446
1.126242143,1.008253311,1.243668966
1.126432781,1.008265052,1.244013298
1.126623312,1.008276776,1.244357442
1.126813735,1.008288482,1.2447014
1.127004049,1.008300172,1.24504517
1.127194256,1.008311845,1.245388755
1.127384356,1.0083235,1.245732154
1.127574348,1.008335138,1.246075368
1.127764233,1.008346759,1.246418398
1.12795401,1.008358363,1.246761245
1.128143681,1.008369951,1.247103909
1.128333245,1.008381521,1.24744639
1.128522703,1.008393074,1.247788689
1.128712053,1.00840461,1.248130806
1.128901298,1.008416129,1.248472743
1.129090436,1.008427631,1.2488145
1.129279469,1.008439115,1.249156077
1.129468395,1.008450583,1.249497475
1.129657216,1.008462034,1.249838695
1.129845931,1.008473469,1.250179736
1.130034541,1.008484886,1.25053411
1.130223045,1.008496286,1.250893997
1.130411445,1.008507669,1.251253751
1.130599739,1.008519035,1.251613374
1.130787929,1.008530385,1.251972866
1.130976014,1.008541717,1.252332227
1.131163994,1.008553033,1.252691459
1.13135187,1.008564332,1.253050561
1.131539642,1.008575614,1.253409534
1.13172731,1.008586879,1.253768379
1.131914873,1.008598127,1.254242034
1.132102333,1.008609359,1.254718174
1.13228969,1.008620573,1.255193997
1.132476943,1.008631771,1.255669502
1.132664092,1.008642952,1.256144686
1.132851139,1.008654117,1.25661955
1.133038082,1.008665264,1.257094091
1.133224923,1.008676395,1.257568309
1.13341166,1.008687509,1.258042202
1.133598295,1.008698607,1.258515769
1.133784828,1.008709688,1.258926629
1.133971258,1.008720752,1.259289519
1.134157587,1.008731799,1.259652281
1.134343813,1.00874283,1.260014914
1.134529937,1.008753844,1.260377419
1.134715959,1.008764842,1.260739796
1.13490188,1.008775823,1.261103645
1.1350877,1.008786787,1.26162111
1.135273418,1.008797735,1.262138312
1.135459035,1.008808666,1.262655248
1.135644551,1.008819581,1.263171916
1.135829966,1.008831307,1.263688315
1.136015281,1.008843549,1.264204443
1.136200494,1.008855784,1.264720298
1.136385608,1.008868013,1.265235878
1.136570621,1.008880236,1.265751181
1.136755534,1.008892452,1.266266205
1.136940347,1.008904661,1.266778853
1.13712506,1.008916864,1.267290644
1.137309673,1.00892906,1.267678549
1.137494187,1.00894125,1.268045231
1.137678601,1.008953434,1.268411783
1.137862916,1.008965611,1.268778207
1.138047132,1.008977781,1.269144091
1.138231248,1.008989945,1.269509106
1.138415266,1.009002103,1.269873991
1.138599185,1.009014254,1.270238748
1.138783006,1.009026399,1.270603376
1.138966728,1.009038538,1.270967876
1.139150351,1.00905067,1.271332248
1.139333877,1.009062796,1.271696493
1.139517304,1.009074916,1.272060611
1.139700634,1.009087029,1.272424602
1.139883865,1.009099136,1.272788467
1.140066999,1.009111237,1.273152207
1.140250036,1.009123331,1.273515821
1.140432975,1.00913542,1.27387931
1.140615817,1.009147502,1.274242674
1.140798562,1.009159577,1.274605915
1.14098121,1.009171647,1.274969032
1.141163761,1.009183711,1.275332025
1.141346216,1.009195768,1.275694896
1.141528574,1.009207819,1.276057644
1.141710835,1.009219864,1.276420269
1.141893,1.009231903,1.276782773
1.14207507,1.009243936,1.277145156
1.142257043,1.009255962,1.277507418
1.14243892,1.009267983,1.277869559
1.142620702,1.009279997,1.27823158
1.142802388,1.009292006,1.278593481
1.142983979,1.009304008,1.278955262
1.143165474,1.009316005,1.279316924
1.143346874,1.009327995,1.279678468
1.14352818,1.00933998,1.280039894
1.14370939,1.009351958,1.280401201
1.143890505,1.00936393,1.280762391
1.144071526,1.009375897,1.281123464
1.144252453,1.009387857,1.281484419
1.144433285,1.009399812,1.281845259
1.144614023,1.009411761,1.282205982
1.144794667,1.009423704,1.28256659
1.144975217,1.009435641,1.282927082
1.145155673,1.009447572,1.283287459
1.145336035,1.009459497,1.283647722
1.145516304,1.009471416,1.28400787
1.14569648,1.00948333,1.284367904
1.145876562,1.009495237,1.284727825
1.146056551,1.009507139,1.285087633
1.146236447,1.009519035,1.285447328
1.14641625,1.009530926,1.28580691
1.146595961,1.00954281,1.28616638
1.146775579,1.009554689,1.286525739
1.146955104,1.009566562,1.286884986
1.147134537,1.009578429,1.287244122
1.147313878,1.009590291,1.287603147
1.147493127,1.009602147,1.287962062
1.147672284,1.009613997,1.288320867
1.14785135,1.009625841,1.288679562
1.148030323,1.00963768,1.289036832
1.148209205,1.009649514,1.289393493
1.148387996,1.009661341,1.289750054
1.148566695,1.009673163,1.290106514
1.148745304,1.009684979,1.290462873
1.148923821,1.00969679,1.290819132
1.149102248,1.009708595,1.291175291
1.149280583,1.009720395,1.291531351
1.149458829,1.009732189,1.291887311
1.149636983,1.009743977,1.292243173
1.149815048,1.00975576,1.292598937
1.149993022,1.009767538,1.292954603
1.150170906,1.009779309,1.293310171
1.1503487,1.009791076,1.293665641
1.150526405,1.009802837,1.294021015
1.15070402,1.009814592,1.294376292
1.150881545,1.009826342,1.294731473
1.151058981,1.009838086,1.295086558
1.151236327,1.009849825,1.295441548
1.151413585,1.009861559,1.295796442
1.151590753,1.009873287,1.296151241
1.151767833,1.00988501,1.296505946
1.151944824,1.009896727,1.296860556
1.152121726,1.009908439,1.297215073
1.15229854,1.009920146,1.297569496
1.152475265,1.009931847,1.297923826
1.152651903,1.009943543,1.298278063
1.152828452,1.009955234,1.298632207
1.153004913,1.009966919,1.29898626
1.153181286,1.009978599,1.29934022
1.153357572,1.009990274,1.299694089
1.15353377,1.010001943,1.300047866
1.153709881,1.010013607,1.300401553
1.153885905,1.010025266,1.300755149
1.154061841,1.010036919,1.301162081
1.15423769,1.010048568,1.301612088
1.154413452,1.010060211,1.30206168
1.154589128,1.010071849,1.302510855
1.154764717,1.010083481,1.302959614
1.154940219,1.010095109,1.303407955
1.155115635,1.010106731,1.303855878
1.155290965,1.010118348,1.304303382
1.155466209,1.01012996,1.304750467
1.155641367,1.010141567,1.305197131
1.155816438,1.010153168,1.305643375
1.155991424,1.010164765,1.306089136
1.156166325,1.010176356,1.306533569
1.15634114,1.010187943,1.30697758
1.15651587,1.010199524,1.307421168
1.156690514,1.0102111,1.307864332
1.156865073,1.010222671,1.308307072
1.157039548,1.010234237,1.308749387
1.157213937,1.010245798,1.309224619
1.157388242,1.010257353,1.30970476
1.157562463,1.010268904,1.310184535
1.157736598,1.01028045,1.310663941
1.15791065,1.010291991,1.311142978
1.158084617,1.010303527,1.311621647
1.158258501,1.010315057,1.312099944
1.1584323,1.010326583,1.312577871
1.158606016,1.010338104,1.313055426
1.158779647,1.01034962,1.313532608
1.158953196,1.010361131,1.314009416
1.159126661,1.010372637,1.314485851
1.159300042,1.010384138,1.31496191
1.159473341,1.010395634,1.315437594
1.159646556,1.010407125,1.315912902
1.159819689,1.010418611,1.316387832
1.159992739,1.010430093,1.316862385
1.160165706,1.010441569,1.317336559
1.16033859,1.010453041,1.317810354
1.160511392,1.010464508,1.318283769
1.160684112,1.01047597,1.318756803
1.16085675,1.010487427,1.319229457
1.161029306,1.010498879,1.319701728
1.16120178,1.010510326,1.320173617
1.161374172,1.010521769,1.320645122
1.161546482,1.010533207,1.321116244
1.161718711,1.01054464,1.321586981
1.161890859,1.010556068,1.322057333
1.162062925,1.010567492,1.322527299
1.16223491,1.010578911,1.322996878
1.162406815,1.010590325,1.323466071
1.162578638,1.010601734,1.323934877
1.162750381,1.010613139,1.324403294
1.162922043,1.010624538,1.324871322
1.163093624,1.010635934,1.325206244
1.163265125,1.010647324,1.325537852
1.163436546,1.01065871,1.325869384
1.163607887,1.010670091,1.326200842
1.163779147,1.010681467,1.326532224
1.163950328,1.010692839,1.326863533
1.164121429,1.010704206,1.327194766
1.164292451,1.010715568,1.327525925
1.164463393,1.010726926,1.32785701
1.164634255,1.010738279,1.32818802
1.164805038,1.010749628,1.328518956
1.164975743,1.010760972,1.328849818
1.165146368,1.010772311,1.329180606
1.165316914,1.010783646,1.32952019
1.165487382,1.010794976,1.329944413
1.165657771,1.010806302,1.330365827
1.165828081,1.010817623,1.330786795
1.165998313,1.010828939,1.331207316
1.166168467,1.010840251,1.331627392
1.166338543,1.010851559,1.33204702
1.16650854,1.010862861,1.332466202
1.16667846,1.01087416,1.332884936
1.166848302,1.010885454,1.333303224
1.167018067,1.010896743,1.333721064
1.167187754,1.010908028,1.334138456
1.167357363,1.010919308,1.334555401
1.167526895,1.010930584,1.334971898
1.16769635,1.010941856,1.335387946
1.167865728,1.010953123,1.335803547
1.16803503,1.010964385,1.336218699
