LC,95% UI,
1.159876146,1.097074386,1.230751884
1.160810127,1.097747424,1.232003364
1.16172476,1.09840219,1.233234278
1.162639392,1.099056983,1.234465156
1.163554025,1.099711805,1.235696
1.164468657,1.100366655,1.236926808
1.165383289,1.101045969,1.238151908
1.166297922,1.101725302,1.239376984
1.167212554,1.102404652,1.240602034
1.168127186,1.103084022,1.241827059
1.169041819,1.103763409,1.243052059
1.169956451,1.104442814,1.244277034
1.170852026,1.105104251,1.245481713
1.171747602,1.105765711,1.246686359
1.172643177,1.106427196,1.247890972
1.173538752,1.107088704,1.249095552
1.174434327,1.10769503,1.250290182
1.175329902,1.108301378,1.251484789
1.176225477,1.108907749,1.252679373
1.177121053,1.109514143,1.253873935
1.178016628,1.11012056,1.255068473
1.178912203,1.110726999,1.256262988
1.179789013,1.111315785,1.257437481
1.180665823,1.111904601,1.258611943
1.181542634,1.112493446,1.259786375
1.182419444,1.113082322,1.260960776
1.183296254,1.11365571,1.262110221
1.184173064,1.114229121,1.263259646
1.185049874,1.114802556,1.264409051
1.185926684,1.115376013,1.265558437
1.186803494,1.115949494,1.266707802
1.187680305,1.116522998,1.267857149
1.188538642,1.117079163,1.268986752
1.189396979,1.117635359,1.270116329
1.190255317,1.118191585,1.27124588
1.191113654,1.118747842,1.272375405
1.191971991,1.119357996,1.273472045
1.192830329,1.119968168,1.274568668
1.193688666,1.120578358,1.275665276
1.194547003,1.121188565,1.276761867
1.195405341,1.121798789,1.277858443
1.196263678,1.122409031,1.278955003
1.197103835,1.123002234,1.280032106
1.197943991,1.123595462,1.281109189
1.198784148,1.124188712,1.28218625
1.199624304,1.124781985,1.28326329
1.200464461,1.125433968,1.284327694
1.201304618,1.126085964,1.285392083
1.202144774,1.126737971,1.286456459
1.202984931,1.127389989,1.28752082
1.203825088,1.12804202,1.288585167
1.204665244,1.128694061,1.289649499
1.205487513,1.129329357,1.290694665
1.206309781,1.129964668,1.291739811
1.207132049,1.130599994,1.292784938
1.207954317,1.131235336,1.293830047
1.208776585,1.131838248,1.294859376
1.209598853,1.132441174,1.295888693
1.210421122,1.133044114,1.296917997
1.21124339,1.133647068,1.297947289
1.212065658,1.134250036,1.298976568
1.212887926,1.134853018,1.300005835
1.213692598,1.135439552,1.301016228
1.21449727,1.136026104,1.302026604
1.215301942,1.136612675,1.303036963
1.216106614,1.137199265,1.304047306
1.216911286,1.137742108,1.305047717
1.217715957,1.138284969,1.306048117
1.218520629,1.138827846,1.307048506
1.219325301,1.13937074,1.308048884
1.220129973,1.139913651,1.309049251
1.220934645,1.140456579,1.310049606
1.221722013,1.140983363,1.311031382
1.22250938,1.14151017,1.312013142
1.223296748,1.142036999,1.312994888
1.224084116,1.142563852,1.313976619
1.224871484,1.143115334,1.314947126
1.225658851,1.143666831,1.315917622
1.226446219,1.144218342,1.316888108
1.227233587,1.144769868,1.317858585
1.228020955,1.145321408,1.318829052
1.228808322,1.145872962,1.319799509
1.229578678,1.14640867,1.320751684
1.230349034,1.146944396,1.321703844
1.23111939,1.147480142,1.322655992
1.231889746,1.148015907,1.323608127
1.232660101,1.148580633,1.324548561
1.233430457,1.14914537,1.325488986
1.234200813,1.14971012,1.326429403
1.234971169,1.15027488,1.327369811
1.235741525,1.150839653,1.32831021
1.23651188,1.151404436,1.329250602
1.237265516,1.151953665,1.330173009
1.238019153,1.152502909,1.331095405
1.238772789,1.153052169,1.332017789
1.239526425,1.153601444,1.332940162
1.240280061,1.154159378,1.333849487
1.241033697,1.154717322,1.334758805
1.241787333,1.155275277,1.335668115
1.242540969,1.155833242,1.336577418
1.243294605,1.156391218,1.337486714
1.244048241,1.156949205,1.338396003
1.244785449,1.157491926,1.33928761
1.245522658,1.158034662,1.340179207
1.246259866,1.158577411,1.341070794
1.246997075,1.159120175,1.341962371
1.247734283,1.159766301,1.342842134
1.248471492,1.160412429,1.34372189
1.2492087,1.16105856,1.344601641
1.249945909,1.161704694,1.345481385
1.250683117,1.162350831,1.346361123
1.251420325,1.16299697,1.347240855
1.252141399,1.163628118,1.348103208
1.252862472,1.164259269,1.348965554
1.253583545,1.164890424,1.349827891
1.254304618,1.165521583,1.35069022
1.255025691,1.166015053,1.351618681
1.255746764,1.166508535,1.352547132
1.256467837,1.167002029,1.353475572
1.25718891,1.167495535,1.354404002
1.257909983,1.167989054,1.355332421
1.258631056,1.168482584,1.35626083
1.259336286,1.168961421,1.357172154
1.260041516,1.169440273,1.358083465
1.260746745,1.169919143,1.358994761
1.261451975,1.170398029,1.359906042
1.262157205,1.170995518,1.36071952
1.262862435,1.17159301,1.361532995
1.263567665,1.172190507,1.362346465
1.264272895,1.172788007,1.363159933
1.264978124,1.173385511,1.363973396
1.265683354,1.173983019,1.364786856
1.266373033,1.174566107,1.365583544
1.267062712,1.1751492,1.366380226
1.267752391,1.175732298,1.367176904
1.268442069,1.176315402,1.367973576
1.269131748,1.17690811,1.368941755
1.269821427,1.17750082,1.369909919
1.270511106,1.178093534,1.370878069
1.271200785,1.178686251,1.371846204
1.271890463,1.179278971,1.372814325
1.272580142,1.179871694,1.373782431
1.273254562,1.180450273,1.374734048
1.273928982,1.181028856,1.375685645
1.274603402,1.181607444,1.376637222
1.275277822,1.182186036,1.37758878
1.275952242,1.182729643,1.378453044
1.276626662,1.183273255,1.3793173
1.277301082,1.183816873,1.380181547
1.277975501,1.184360495,1.381045786
1.278649921,1.184904123,1.381910016
1.279324341,1.185447756,1.382774238
1.279983794,1.185977526,1.383622273
1.280643248,1.186507303,1.384470296
1.281302701,1.187037088,1.385318307
1.281962154,1.187566879,1.386166307
1.282621607,1.188047091,1.387006013
1.283281061,1.188527312,1.387845711
1.283940514,1.18900754,1.388685402
1.284599967,1.189487777,1.389525084
1.28525942,1.189968021,1.390364759
1.285918873,1.190448273,1.391204427
1.286563651,1.190914949,1.392028207
1.287208428,1.191381635,1.392851977
1.287853205,1.191848332,1.393675737
1.288497982,1.192315039,1.394499486
1.289142759,1.192810081,1.395409342
1.289787537,1.193305128,1.396319186
1.290432314,1.193800182,1.397229017
1.291077091,1.194295241,1.398138835
1.291721868,1.194790307,1.399048641
1.292366645,1.195285378,1.399958435
1.292997034,1.195767149,1.400852627
1.293627422,1.196248927,1.401746802
1.294257811,1.196730714,1.40264096
1.294888199,1.197212509,1.403535101
1.295518588,1.197645256,1.404399081
1.296148976,1.198078011,1.405263051
1.296779364,1.198510775,1.40612701
1.297409753,1.198943548,1.406990959
1.298040141,1.199376329,1.407854898
1.29867053,1.199809118,1.408718827
1.299286808,1.200228882,1.409567438
1.299903087,1.200648658,1.410416034
1.300519366,1.201068445,1.411264617
1.301135644,1.201488244,1.412113185
1.301751923,1.201941174,1.412857657
1.302368202,1.20239411,1.413602125
1.30298448,1.202847053,1.414346588
1.303600759,1.203300002,1.415091047
1.304217038,1.203752957,1.415835502
1.304833316,1.204205919,1.416579953
1.30543576,1.20464612,1.417309378
1.306038203,1.20508633,1.418038798
1.306640646,1.205526548,1.418768212
1.30724309,1.205966776,1.419497621
1.307845533,1.206412329,1.420184772
1.308447976,1.206857888,1.420871921
1.309050419,1.207303453,1.421559068
1.309652863,1.207749024,1.422246214
1.310255306,1.2081946,1.422933358
1.310857749,1.208640183,1.423620501
1.311446631,1.209073268,1.424292912
1.312035512,1.209506362,1.424965322
1.312624394,1.209939464,1.425637729
1.313213275,1.210372574,1.426310133
1.313802157,1.210877967,1.42697307
1.314391039,1.211383361,1.427636006
1.31497992,1.211888758,1.42829894
1.315568802,1.212394157,1.428961873
1.316157683,1.212899558,1.429624805
1.316746565,1.21340496,1.430287736
1.317322154,1.213898117,1.430936227
1.317897744,1.214391276,1.431584716
1.318473334,1.214884437,1.432233204
1.319048923,1.215377601,1.43288169
1.319624513,1.215935363,1.433570694
1.320200102,1.216493122,1.434259694
1.320775692,1.21705088,1.434948691
1.321351282,1.217608637,1.435637684
1.321926871,1.218166393,1.436326675
1.322502461,1.218724147,1.437015662
1.323065021,1.219269892,1.437690487
1.323627581,1.219815635,1.438365308
1.324190141,1.220361377,1.439040125
1.3247527,1.220907116,1.439714937
1.32531526,1.221298173,1.440450844
1.32587782,1.221689237,1.441186745
1.32644038,1.222080307,1.441922639
1.32700294,1.222471383,1.442658528
1.3275655,1.222862465,1.44339441
1.32812806,1.223253553,1.444130287
1.328677845,1.223632883,1.444852265
1.32922763,1.224012222,1.445574235
1.329777415,1.224391569,1.446296197
1.3303272,1.224770924,1.44701815
1.330876985,1.225152199,1.447824064
1.33142677,1.22553348,1.448629969
1.331976555,1.225914767,1.449435864
1.33252634,1.22629606,1.450241749
1.333076125,1.226677359,1.451047624
1.33362591,1.227058664,1.451853489
1.334163173,1.227428454,1.45264571
1.334700436,1.227798252,1.453437917
1.335237698,1.228168059,1.454230111
1.335774961,1.228537874,1.455022291
1.336312224,1.228909573,1.455744467
1.336849487,1.229281277,1.456466636
1.33738675,1.229652987,1.4571888
1.337924013,1.230024702,1.457910956
1.338461276,1.230396424,1.458633107
1.338998539,1.23076815,1.459355251
1.339523528,1.231128603,1.460064011
1.340048518,1.231489063,1.460772763
1.340573507,1.231849531,1.461481505
1.341098497,1.232210007,1.462190239
1.341623487,1.232571899,1.462857462
1.342148476,1.232933797,1.463524681
1.342673466,1.2332957,1.464191895
1.343198455,1.233657608,1.464859106
1.343723445,1.234019522,1.465526312
1.344248434,1.234381441,1.466193513
1.344761394,1.234732321,1.466847589
1.345274354,1.235083207,1.467501659
1.345787314,1.235434102,1.468155723
1.346300274,1.235785004,1.468809781
1.346813234,1.236195672,1.469403264
1.347326194,1.236606342,1.469996745
1.347839154,1.237017015,1.470590226
1.348352113,1.237427691,1.471183704
1.348865073,1.23783837,1.471777182
1.349378033,1.238249051,1.472370658
1.349879206,1.238648919,1.47295127
1.35038038,1.239048791,1.473531881
1.350881553,1.239448666,1.47411249
1.351382726,1.239848545,1.474693097
1.351883899,1.240152388,1.475348027
1.352385072,1.240456238,1.476002953
1.352886245,1.240760095,1.476657874
1.353387419,1.241063958,1.47731279
1.353888592,1.241367828,1.477967702
1.354389765,1.241671704,1.478622609
1.354879394,1.241965004,1.479264908
1.355369023,1.242258314,1.4799072
1.355858652,1.242551633,1.480549486
1.356348281,1.242844962,1.481191766
1.35683791,1.243223422,1.48179711
1.357327539,1.243601885,1.482402451
1.357817168,1.243980351,1.48300779
1.358306797,1.24435882,1.483613125
1.358796426,1.244737292,1.484218458
1.359286055,1.245115767,1.484823788
1.359764382,1.245483892,1.485416768
1.360242709,1.245852022,1.486009745
1.360721036,1.246220155,1.486602717
1.361199363,1.246588293,1.487195686
1.36167769,1.246912161,1.487740807
1.362156017,1.247236034,1.488285927
1.362634345,1.247559911,1.488831047
1.363112672,1.247883793,1.489376165
1.363590999,1.248207679,1.489921283
1.364069326,1.24853157,1.4904664
1.364536591,1.248845341,1.490999428
1.365003856,1.249159118,1.491532455
1.36547112,1.249472902,1.492065481
1.365938385,1.249786692,1.492598505
1.36640565,1.250201601,1.493213149
1.366872915,1.250616511,1.493827789
1.36734018,1.251031421,1.494442425
1.367807444,1.251446331,1.495057057
1.368274709,1.251861243,1.495671685
1.368741974,1.252276154,1.496286309
1.369198411,1.252681159,1.496889091
1.369654848,1.253086165,1.497491867
1.370111284,1.253491172,1.498094638
1.370567721,1.25389618,1.498697403
1.371024158,1.254135847,1.499312906
1.371480595,1.254375521,1.499928405
1.371937031,1.254615201,1.5005439
1.372393468,1.254854888,1.50115939
1.372849905,1.255094582,1.501774876
1.373306341,1.255334283,1.502390358
1.373752183,1.255564307,1.502994243
1.374198025,1.25579434,1.503598122
1.374643867,1.256024383,1.504201996
1.375089709,1.256254435,1.504805863
1.375535551,1.256593063,1.505309149
1.375981392,1.256931694,1.505812434
1.376427234,1.257270328,1.506315719
1.376873076,1.257608963,1.506819003
1.377318918,1.257947602,1.507322286
1.37776476,1.258286243,1.507825569
1.378200228,1.258615413,1.508317499
1.378635696,1.258944586,1.508809427
1.379071164,1.259273763,1.509301355
1.379506632,1.259602943,1.509793282
1.3799421,1.259839527,1.51028205
1.380377568,1.260076116,1.510770817
1.380813036,1.260312712,1.511259584
1.381248504,1.260549313,1.51174835
1.381683972,1.260785919,1.512237116
1.38211944,1.261022532,1.512725882
1.382544737,1.261249871,1.513203515
1.382970034,1.261477219,1.513681147
1.383395331,1.261704574,1.514158779
1.383820628,1.261931938,1.51463641
1.384245925,1.262167911,1.515111131
1.384671222,1.26240389,1.515585852
1.385096519,1.262639874,1.516060572
1.385521816,1.262875863,1.516535292
1.385947114,1.263111857,1.517010012
1.386372411,1.263347857,1.517484731
1.386787738,1.263574777,1.517948537
1.387203065,1.263801705,1.518412342
1.387618392,1.264028641,1.518876147
1.388033719,1.264255583,1.519339952
1.388449045,1.264490689,1.519929075
1.388864372,1.2647258,1.520518193
1.389279699,1.264960916,1.521107306
1.389695026,1.265196037,1.521696415
1.390110353,1.265431162,1.52228552
1.39052568,1.265666292,1.52287462
1.390931238,1.265892536,1.523453015
1.391336796,1.266118787,1.524031404
1.391742353,1.266345044,1.524609787
1.392147911,1.266571308,1.525188163
1.392553468,1.266805939,1.525790868
1.392959026,1.267040574,1.526393568
1.393364584,1.267275213,1.526996263
1.393770141,1.267509857,1.527598953
1.394175699,1.267744505,1.528201637
1.394581257,1.267979158,1.528804317
1.394977246,1.268205116,1.5293965
1.395373235,1.26843108,1.529988676
1.395769224,1.26865705,1.530580845
1.396165213,1.268883027,1.531173007
1.396561201,1.269135207,1.531762801
1.39695719,1.269387391,1.532352591
1.397353179,1.269639579,1.532942375
1.397749168,1.26989177,1.533532155
1.398145157,1.270143964,1.53412193
1.398541146,1.270396162,1.534711699
1.398927767,1.270639854,1.535291182
1.399314387,1.27088355,1.535870658
1.399701008,1.271127252,1.536450127
1.400087628,1.271370958,1.537029589
1.400474248,1.271579452,1.537605381
1.400860869,1.27178795,1.538181167
1.401247489,1.271996453,1.538756949
1.40163411,1.27220496,1.539332727
1.40202073,1.272413472,1.539908499
1.402407351,1.272621988,1.540484267
1.402784802,1.272822189,1.541049958
1.403162254,1.273022396,1.541615642
1.403539705,1.27322261,1.54218132
1.403917157,1.27342283,1.542746991
1.404294609,1.2736954,1.543175118
1.40467206,1.273967972,1.543603245
1.405049512,1.274240546,1.544031371
1.405426963,1.274513122,1.544459497
1.405804415,1.2747857,1.544887623
1.406181867,1.275058281,1.545315748
1.406550349,1.275322731,1.545734017
1.406918832,1.275587184,1.546152284
1.407287315,1.27585164,1.546570552
1.407655797,1.2761161,1.546988818
1.40802428,1.27643958,1.547420436
1.408392762,1.27676306,1.547852053
1.408761245,1.277086541,1.54828367
1.409129728,1.277410022,1.548715286
1.40949821,1.277733503,1.5491469
1.409866693,1.278056984,1.549578515
1.410226406,1.278372517,1.55000049
1.41058612,1.27868805,1.550422463
1.410945833,1.279003584,1.550844436
1.411305547,1.279319117,1.551266408
1.41166526,1.279670419,1.551903445
1.412024973,1.28002172,1.552540475
1.412384687,1.280373021,1.553177499
1.4127444,1.28072432,1.553814515
1.413104114,1.281075619,1.554451525
1.413463827,1.281426918,1.555088527
1.413814971,1.281770446,1.555716093
1.414166114,1.282113973,1.556343649
1.414517258,1.282457499,1.556971196
1.414868401,1.282801024,1.557598732
1.415219545,1.28313109,1.558102189
1.415570688,1.283461157,1.558605642
1.415921832,1.283791223,1.559109092
1.416272975,1.284121289,1.559612539
1.416624119,1.284451355,1.560115983
1.416975262,1.28478142,1.560619423
1.417318032,1.285103892,1.561113637
1.417660802,1.285426364,1.561607847
1.418003572,1.285748836,1.562102052
1.418346342,1.286071307,1.562596252
1.418689112,1.286379277,1.563040013
1.419031882,1.286687246,1.563483772
1.419374652,1.286995216,1.563927529
1.419717422,1.287303186,1.564371285
1.420060192,1.287611156,1.564815038
1.420402962,1.287919126,1.56525879
1.420737553,1.288219679,1.565693527
1.421072143,1.288520233,1.566128261
1.421406734,1.288820787,1.566562992
1.421741325,1.289121341,1.566997721
1.422075915,1.289218875,1.567451483
1.422410506,1.289316414,1.567905242
1.422745097,1.289413959,1.568358999
1.423079688,1.289511509,1.568812755
1.423414278,1.289609064,1.569266507
1.423748869,1.289706625,1.569720258
1.424075473,1.289796957,1.570165201
1.424402077,1.289887298,1.57061014
1.424728681,1.289977646,1.571055077
1.425055286,1.290068001,1.57150001
1.42538189,1.290261845,1.572066009
1.425708494,1.290455691,1.572632002
1.426035098,1.29064954,1.573197991
1.426361702,1.290843391,1.573763974
1.426688307,1.291037245,1.574329953
1.427014911,1.291231102,1.574895925
1.427333721,1.291417909,1.57545329
1.427652531,1.29160472,1.576010647
1.427971341,1.291791534,1.576567997
1.428290151,1.291978353,1.57712534
1.428608961,1.29216907,1.577670303
1.428927771,1.292359791,1.578215261
1.429246581,1.292550514,1.578760215
1.429565391,1.292741239,1.579305164
1.429884201,1.292931966,1.579850109
1.430203011,1.293122696,1.580395048
1.430514219,1.293306556,1.580931582
1.430825427,1.293490419,1.581468108
1.431136635,1.293674285,1.582004628
1.431447843,1.293858155,1.582541141
1.431759051,1.294044483,1.58306968
1.432070259,1.294230813,1.583598214
1.432381467,1.294417146,1.584126743
1.432692675,1.294603481,1.584655269
1.433003883,1.294789818,1.585183789
1.433315091,1.294976157,1.585712306
1.433618889,1.295155804,1.586232619
1.433922687,1.295335455,1.586752925
1.434226485,1.295515109,1.587273226
1.434530283,1.295694766,1.58779352
1.434834081,1.295875107,1.588305476
1.435137879,1.296055451,1.588817428
1.435441676,1.296235797,1.589329377
1.435745474,1.296416145,1.589841321
1.436049272,1.296596495,1.590353261
1.43635307,1.296776848,1.590865196
1.43664965,1.296950685,1.591369132
1.436946229,1.297124526,1.591873062
1.437242808,1.29729837,1.592376986
1.437539387,1.297472217,1.592880904
1.437835966,1.297644884,1.59337612
1.438132545,1.297817552,1.593871332
1.438429125,1.297990223,1.594366541
1.438725704,1.298162895,1.594861746
1.439022283,1.29833557,1.595356947
1.439318862,1.298508247,1.595852145
1.439608407,1.298674581,1.596339538
1.439897951,1.298840917,1.596826926
1.440187496,1.299007256,1.597314309
1.440477041,1.299173599,1.597801686
1.440766585,1.299284088,1.59821819
1.44105613,1.299394581,1.598634691
1.441345675,1.299505077,1.59905119
1.441635219,1.299615577,1.599467688
1.441924764,1.29972608,1.599884183
1.442214308,1.299836586,1.600300676
1.442496993,1.299940913,1.600709555
1.442779678,1.300045246,1.601118431
1.443062363,1.300149583,1.601527304
1.443345048,1.300253925,1.601936174
1.443627733,1.300364513,1.602300944
1.443910419,1.300475104,1.602665712
1.444193104,1.300585698,1.60303048
1.444475789,1.300696296,1.603395246
1.444758474,1.300806896,1.603760011
1.445041159,1.3009175,1.604124775
1.445317156,1.301022087,1.604482115
1.445593154,1.301126678,1.604839453
1.445869152,1.301231274,1.605196789
1.446145149,1.301335874,1.605554123
1.446421147,1.301453699,1.605948291
1.446697145,1.301571528,1.606342457
1.446973143,1.301689359,1.606736621
1.44724914,1.301807193,1.607130783
1.447525138,1.30192503,1.607524944
1.447801136,1.302042869,1.607919102
1.448070619,1.302154852,1.608306023
1.448340101,1.302266839,1.608692941
1.448609584,1.30237883,1.609079857
1.448879066,1.302490825,1.60946677
1.449148549,1.302669112,1.609808214
1.449418032,1.302847399,1.610149657
1.449687514,1.303025688,1.6104911
1.449956997,1.303203978,1.610832541
1.450226479,1.30338227,1.611173982
1.450495962,1.303560563,1.611515422
1.450759102,1.303733156,1.611849814
1.451022241,1.303905752,1.612184204
1.451285381,1.304078349,1.612518594
1.45154852,1.304250949,1.612852982
1.45181166,1.30436583,1.61324007
1.452074799,1.304480713,1.613627157
1.452337939,1.304595599,1.614014242
1.452601078,1.304710487,1.614401325
1.452864218,1.304825377,1.614788406
1.453127357,1.30494027,1.615175486
1.453384322,1.305049621,1.6155557
1.453641287,1.305158975,1.615935911
1.453898252,1.305268332,1.61631612
1.454155217,1.305377693,1.616696327
1.454412182,1.305604424,1.617169959
1.454669147,1.305831154,1.617643588
1.454926112,1.306057885,1.618117214
1.455183078,1.306284616,1.618590836
1.455440043,1.306511346,1.619064454
1.455697008,1.306738077,1.619538069
1.45594796,1.306959411,1.62000499
1.456198912,1.307180744,1.620471906
1.456449864,1.307402078,1.620938817
1.456700817,1.307623411,1.621405723
1.456951769,1.307745162,1.62181307
1.457202721,1.307866915,1.622220415
1.457453673,1.30798867,1.622627757
1.457704626,1.308110426,1.623035097
1.457955578,1.308232185,1.623442434
1.45820653,1.308353945,1.623849769
1.458451626,1.308470453,1.62425058
1.458696721,1.308586963,1.624651387
1.458941817,1.308703476,1.62505219
1.459186912,1.308819992,1.625452991
1.459432008,1.308898864,1.625901732
1.459677103,1.308977738,1.626350471
1.459922199,1.309056614,1.626799206
1.460167294,1.309135493,1.627247939
1.46041239,1.309214374,1.627696668
1.460657485,1.309293258,1.628145394
1.460896867,1.309367023,1.628587747
1.461136248,1.309440792,1.629030095
1.461375629,1.309514564,1.629472439
1.461615011,1.309588339,1.629914779
1.461854392,1.309673743,1.630295776
1.462093773,1.309759149,1.63067677
1.462333155,1.309844558,1.631057763
1.462572536,1.309929968,1.631438754
1.462811917,1.310015381,1.631819742
1.463051299,1.310100796,1.632200729
1.463285099,1.310181216,1.632575487
1.463518899,1.31026164,1.632950242
1.463752699,1.310342066,1.633324995
1.4639865,1.310422496,1.633699744
1.4642203,1.31072668,1.633939042
1.4644541,1.311030862,1.634178341
1.4646879,1.311335043,1.634417639
1.4649217,1.311639222,1.634656938
1.465155501,1.311943399,1.634896238
1.465389301,1.312247575,1.635135537
1.465617646,1.312546864,1.635368751
1.465845992,1.312846151,1.635601965
1.466074337,1.313145436,1.63583518
1.466302683,1.313444719,1.636068395
1.466531029,1.313574439,1.636357761
1.466759374,1.313704161,1.636647125
1.46698772,1.313833884,1.636936489
1.467216065,1.313963609,1.637225853
